name,smiles,category
decoy_GYCMBHHDWRMZGG-UHFFFAOYSA-N,C=C(C)C#N,decoy_C4H5N
decoy_KTHXBEHDVMTNOH-UHFFFAOYSA-N,OC1CCC1,decoy_C4H8O
decoy_LOCHFZBWPCLPAN-UHFFFAOYSA-N,CCC(C)S,decoy_C4H10S
decoy_LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,decoy_C4H10O
decoy_MCSAJNNLRCFZED-UHFFFAOYSA-N,CC[N+](=O)[O-],decoy_C2H5NO2
decoy_MHNNAWXXUZQSNM-UHFFFAOYSA-N,C=C(C)CC,decoy_C5H10
decoy_MKUWVMRNQOOSAT-UHFFFAOYSA-N,C=CC(C)O,decoy_C4H8O
decoy_NKKMVIVFRUYPLQ-UHFFFAOYSA-N,CC=CC#N,decoy_C4H5N
decoy_PBIJFSCPEFQXBB-UHFFFAOYSA-N,CC1(C)CC1,decoy_C5H10
decoy_PQXKWPLDPFFDJP-UHFFFAOYSA-N,CC1OC1C,decoy_C4H8O
decoy_QMMOXUPEWRXHJS-UHFFFAOYSA-N,CC=CCC,decoy_C5H10
decoy_QWTDNUCVQCZILF-UHFFFAOYSA-N,CCC(C)C,decoy_C5H12
decoy_RBACIKXCRWGCBB-UHFFFAOYSA-N,CCC1CO1,decoy_C4H8O
decoy_REJPDMLLCDXIOV-UHFFFAOYSA-N,CC#CC=O,decoy_C4H4O
decoy_RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,decoy_C5H10
decoy_RMGHERXMTMUMMV-UHFFFAOYSA-N,COC(C)C,decoy_C4H10O
decoy_ROSSIHMZZJOVOU-UHFFFAOYSA-N,CSC(C)C,decoy_C4H10S
decoy_RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,decoy_C2H5NO2
decoy_SJNALLRHIVGIBI-UHFFFAOYSA-N,C=CCC#N,decoy_C4H5N
decoy_VKJLDXGFBJBTRQ-UHFFFAOYSA-N,CC1CC1C,decoy_C5H10
decoy_VNKYTQGIUYNRMY-UHFFFAOYSA-N,CCCOC,decoy_C4H10O
decoy_WBJINCZRORDGAQ-UHFFFAOYSA-N,CCOC=O,decoy_C3H6O2
decoy_WCASXYBKJHWFMY-UHFFFAOYSA-N,CC=CCO,decoy_C4H8O
decoy_WMXCDAVJEZZYLT-UHFFFAOYSA-N,CC(C)(C)S,decoy_C4H10S
decoy_WNXJIVFYUVYPPR-UHFFFAOYSA-N,C1COCO1,decoy_C3H6O2
decoy_WQAQPCDUOCURKW-UHFFFAOYSA-N,CCCCS,decoy_C4H10S
decoy_XLSMFKSTNGKWQX-UHFFFAOYSA-N,CC(=O)CO,decoy_C3H6O2
decoy_XRGPFNGLRSIPSA-UHFFFAOYSA-N,C#CC(C)=O,decoy_C4H4O
decoy_YHQXBTXEYZIYOV-UHFFFAOYSA-N,C=CC(C)C,decoy_C5H10
decoy_YOWQWFMSQCOSBA-UHFFFAOYSA-N,C=C(C)OC,decoy_C4H8O
decoy_YSEFYOVWKJXNCH-UHFFFAOYSA-N,COCC=O,decoy_C3H6O2
decoy_ZOASGOXWEHUTKZ-UHFFFAOYSA-N,CCCSC,decoy_C4H10S
decoy_ZSPTYLOMNJNZNG-UHFFFAOYSA-N,C=CCCO,decoy_C4H8O
decoy_ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,decoy_C4H10O
decoy_AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,decoy_C6H14
decoy_AUBDSFLQOBEOPX-UHFFFAOYSA-N,C=CC#CC=C,decoy_C6H6
decoy_AVFZOVWCLRSYKC-UHFFFAOYSA-N,CN1CCCC1,decoy_C5H11N
decoy_BEQGRRJLJLVQAQ-UHFFFAOYSA-N,CC=C(C)CC,decoy_C6H12
decoy_BXIIJPAVISPOGI-UHFFFAOYSA-N,CC1CC1(C)C,decoy_C6H12
decoy_CUZLJOLBIRPEFB-UHFFFAOYSA-N,COCC(C)=O,decoy_C4H8O2
decoy_CXYUCHDVLWUDNS-UHFFFAOYSA-N,CCC1(C)CC1,decoy_C6H12
decoy_DHBZRQXIRAEMRO-UHFFFAOYSA-N,CN(C)N(C)C,decoy_C4H12N2
decoy_DILRJUIACXKSQE-UHFFFAOYSA-N,CN(C)CCN,decoy_C4H12N2
decoy_FGLBSLMDCBOPQK-UHFFFAOYSA-N,CC(C)[N+](=O)[O-],decoy_C3H7NO2
decoy_FSYKKLYZXJSNPZ-UHFFFAOYSA-N,CNCC(=O)O,decoy_C3H7NO2
decoy_GBCKRQRXNXQQPW-UHFFFAOYSA-N,C=CCN(C)C,decoy_C5H11N
decoy_GDOPTJXRTPNYNR-UHFFFAOYSA-N,CC1CCCC1,decoy_C6H12
decoy_GFAZHVHNLUBROE-UHFFFAOYSA-N,CCC(=O)CO,decoy_C4H8O2
decoy_HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,decoy_C6H14
decoy_HPBROFGYTXOJIO-UHFFFAOYSA-N,CC(C)C1CC1,decoy_C6H12
decoy_HSJKGGMUJITCBW-UHFFFAOYSA-N,CC(O)CC=O,decoy_C4H8O2
decoy_HTWIZMNMTWYQRN-UHFFFAOYSA-N,CC1OCCO1,decoy_C4H8O2
decoy_IFZHGQSUNAKKSN-UHFFFAOYSA-N,CCN(N)CC,decoy_C4H12N2
decoy_ITMIAZBRRZANGB-UHFFFAOYSA-N,C=CC(O)CO,decoy_C4H8O2
decoy_JMMZCWZIJXAGKW-UHFFFAOYSA-N,CCC=C(C)C,decoy_C6H12
decoy_JOFQXPUKJJQCPW-UHFFFAOYSA-N,CCCN(C)N,decoy_C4H12N2
decoy_JOYRKODLDBILNP-UHFFFAOYSA-N,CCOC(N)=O,decoy_C3H7NO2
decoy_JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],decoy_C3H7NO2
decoy_KAOQVXHBVNKNHA-UHFFFAOYSA-N,CCCON=O,decoy_C3H7NO2
decoy_KQNPFQTWMSNSAP-UHFFFAOYSA-N,CC(C)C(=O)O,decoy_C4H8O2
decoy_KQSSATDQUYCRGS-UHFFFAOYSA-N,COC(=O)CN,decoy_C3H7NO2
decoy_KVKFRMCSXWQSNT-UHFFFAOYSA-N,CNCCNC,decoy_C4H12N2
decoy_KYINPWAJIVTFBW-UHFFFAOYSA-N,CC1CCNC1,decoy_C5H11N
decoy_LDTAOIUHUHHCMU-UHFFFAOYSA-N,C=CC(C)CC,decoy_C6H12
decoy_LGAQJENWWYGFSN-UHFFFAOYSA-N,CC=CC(C)C,decoy_C6H12
decoy_LIKMAJRDDDTEIG-UHFFFAOYSA-N,C=CCCCC,decoy_C6H12
decoy_LKMJVFRMDSNFRT-UHFFFAOYSA-N,COCC1CO1,decoy_C4H8O2
decoy_LVSQXDHWDCMMRJ-UHFFFAOYSA-N,CC(=O)CCO,decoy_C4H8O2
decoy_MUQNAPSBHXFMHT-UHFFFAOYSA-N,CC(C)(C)NN,decoy_C4H12N2
decoy_MWVPQZRIWVPJCA-UHFFFAOYSA-N,CCCC1CC1,decoy_C6H12
decoy_NEZRFXZYPAIZAD-UHFFFAOYSA-N,CCC1CCC1,decoy_C6H12
decoy_NGSOWKPBNFOQCR-UHFFFAOYSA-N,CC(C)CNN,decoy_C4H12N2
decoy_NISGSNTVMOOSJQ-UHFFFAOYSA-N,NC1CCCC1,decoy_C5H11N
decoy_NYXHSRNBKJIQQG-UHFFFAOYSA-N,CNC(=O)OC,decoy_C3H7NO2
decoy_OGWJYLKDZYZYBA-UHFFFAOYSA-N,C#CC=CC=C,decoy_C6H6
decoy_OPCJOXGBLDJWRM-UHFFFAOYSA-N,CC(C)(N)CN,decoy_C4H12N2
decoy_ORTVZLZNOYNASJ-UHFFFAOYSA-N,OCC=CCO,decoy_C4H8O2
decoy_OWWIWYDDISJUMY-UHFFFAOYSA-N,C=C(C)C(C)C,decoy_C6H12
decoy_OXGJKCALURPRCN-UHFFFAOYSA-N,COCCC=O,decoy_C4H8O2
decoy_PCTCNWZFDASPLA-UHFFFAOYSA-N,CC#CC#CC,decoy_C6H6
decoy_PFEOZHBOMNWTJB-UHFFFAOYSA-N,CCC(C)CC,decoy_C6H14
decoy_PKXHXOTZMFCXSH-UHFFFAOYSA-N,C=CC(C)(C)C,decoy_C6H12
decoy_PUUULGNNRPBVBA-UHFFFAOYSA-N,C=CCNCC,decoy_C5H11N
decoy_QHJABUZHRJTCAR-UHFFFAOYSA-N,CNCCCN,decoy_C4H12N2
decoy_RGHPCLZJAFCTIK-UHFFFAOYSA-N,CC1CCCN1,decoy_C5H11N
decoy_RGTXVXDNHPWPHH-UHFFFAOYSA-N,CC(N)CCN,decoy_C4H12N2
decoy_RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC,decoy_C4H8O2
decoy_RMOUBSOVHSONPZ-UHFFFAOYSA-N,CC(C)OC=O,decoy_C4H8O2
decoy_ROWKJAVDOGWPAT-UHFFFAOYSA-N,CC(=O)C(C)O,decoy_C4H8O2
decoy_RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,decoy_C4H8O2
decoy_RYKZRKKEYSRDNF-UHFFFAOYSA-N,C=C(CC)CC,decoy_C6H12
decoy_RYPKRALMXUUNKS-UHFFFAOYSA-N,CC=CCCC,decoy_C6H12
decoy_SAHWBARCQUAFSM-UHFFFAOYSA-N,CCC1CC1C,decoy_C6H12
decoy_SBUOHGKIOVRDKY-UHFFFAOYSA-N,CC1COCO1,decoy_C4H8O2
decoy_SCZVXVGZMZRGRU-UHFFFAOYSA-N,CCNCCN,decoy_C4H12N2
decoy_SFSUYFSIKDDLOL-UHFFFAOYSA-N,CCC(C)NN,decoy_C4H12N2
decoy_STSRVFAXSLNLLI-UHFFFAOYSA-N,C=CC=CC#N,decoy_C5H5N
decoy_SXQFCVDSOLSHOQ-UHFFFAOYSA-N,CC(O)C(N)=O,decoy_C3H7NO2
decoy_TWWCBLSUGOSDIY-UHFFFAOYSA-N,CCNN(C)C,decoy_C4H12N2
decoy_UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(=O)O,decoy_C3H7NO2
decoy_VDFVNEFVBPFDSB-UHFFFAOYSA-N,C1COCOC1,decoy_C4H8O2
decoy_VUIWJRYTWUGOOF-UHFFFAOYSA-N,C=COCCO,decoy_C4H8O2
decoy_WGLLSSPDPJPLOR-UHFFFAOYSA-N,CC(C)=C(C)C,decoy_C6H12
decoy_WSSSPWUEQFSQQG-UHFFFAOYSA-N,C=CCC(C)C,decoy_C6H12
decoy_WWUVJRULCWHUSA-UHFFFAOYSA-N,C=C(C)CCC,decoy_C6H12
decoy_XDPCNPCKDGQBAN-UHFFFAOYSA-N,OC1CCOC1,decoy_C4H8O2
decoy_XKLVLDXNZDIDKQ-UHFFFAOYSA-N,CCCCNN,decoy_C4H12N2
decoy_XYQCAFWEBBSSKS-UHFFFAOYSA-N,CC(C)N(C)N,decoy_C4H12N2
decoy_YCBOYOYVDOUXLH-UHFFFAOYSA-N,CCNNCC,decoy_C4H12N2
decoy_YFIBSNDOVCWPBL-UHFFFAOYSA-N,C#CCCC#C,decoy_C6H6
decoy_ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,decoy_C6H14
decoy_ZQDPJFUHLCOCRG-UHFFFAOYSA-N,CCC=CCC,decoy_C6H12
decoy_AEXMKKGTQYQZCS-UHFFFAOYSA-N,CCC(C)(C)CC,decoy_C7H16
decoy_AIMREYQYBFBEGQ-UHFFFAOYSA-N,CC(C)(C)[N+](=O)[O-],decoy_C4H9NO2
decoy_AORMDLNPRGXHHL-UHFFFAOYSA-N,CCC(CC)CC,decoy_C7H16
decoy_APNSGVMLAYLYCT-UHFFFAOYSA-N,CC(C)CON=O,decoy_C4H9NO2
decoy_AVMSWPWPYJVYKY-UHFFFAOYSA-N,CC(C)COC=O,decoy_C5H10O2
decoy_BHIWKHZACMWKOJ-UHFFFAOYSA-N,COC(=O)C(C)C,decoy_C5H10O2
decoy_BNDRWEVUODOUDW-UHFFFAOYSA-N,CC(=O)C(C)(C)O,decoy_C5H10O2
decoy_BSKHPKMHTQYZBB-UHFFFAOYSA-N,Cc1ccccn1,decoy_C6H7N
decoy_BSYVTEYKTMYBMK-UHFFFAOYSA-N,OCC1CCCO1,decoy_C5H10O2
decoy_BZHMBWZPUJHVEE-UHFFFAOYSA-N,CC(C)CC(C)C,decoy_C7H16
decoy_CELWCAITJAEQNL-UHFFFAOYSA-N,OC1CCCCO1,decoy_C5H10O2
decoy_CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CCC=C1,decoy_C7H8
decoy_CXOWYJMDMMMMJO-UHFFFAOYSA-N,CCCC(C)(C)C,decoy_C7H16
decoy_DGZUEIPKRRSMGK-UHFFFAOYSA-N,C1C2C3C2C2C1C32,decoy_C7H8
decoy_DRWOJIIXBYNGGW-UHFFFAOYSA-N,COCCC(C)=O,decoy_C5H10O2
decoy_FKNQCJSGGFJEIZ-UHFFFAOYSA-N,Cc1ccncc1,decoy_C6H7N
decoy_FKRCODPIKNYEAC-UHFFFAOYSA-N,CCOC(=O)CC,decoy_C5H10O2
decoy_FPKWGRVMLLIFSY-UHFFFAOYSA-N,COC1OC1(C)C,decoy_C5H10O2
decoy_FUOOLUPWFVMBKG-UHFFFAOYSA-N,CC(C)(N)C(=O)O,decoy_C4H9NO2
decoy_GAPFWGOSHOCNBM-UHFFFAOYSA-N,CC(C)O[N+](=O)[O-],decoy_C3H7NO3
decoy_GCYHRYNSUGLLMA-UHFFFAOYSA-N,C=CCOCCO,decoy_C5H10O2
decoy_GDFAOVXKHJXLEI-UHFFFAOYSA-N,CNC(C)C(=O)O,decoy_C4H9NO2
decoy_GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O,decoy_C5H10O2
decoy_GXDHCNNESPLIKD-UHFFFAOYSA-N,CCCCC(C)C,decoy_C7H16
decoy_GXZPMXGRNUXGHN-UHFFFAOYSA-N,C=COCCOC,decoy_C5H10O2
decoy_HDGHQFQMWUTHKL-UHFFFAOYSA-N,CC1OCCCO1,decoy_C5H10O2
decoy_HQCSZRIVJVOYSU-UHFFFAOYSA-N,CCOCC1CO1,decoy_C5H10O2
decoy_HRDCVMSNCBAMAM-UHFFFAOYSA-N,C#CCOCC#C,decoy_C6H6O
decoy_INCCMBMMWVKEGJ-UHFFFAOYSA-N,CC1CCOCO1,decoy_C5H10O2
decoy_IOGXOCVLYRDXLW-UHFFFAOYSA-N,CC(C)(C)ON=O,decoy_C4H9NO2
decoy_ITQTTZVARXURQS-UHFFFAOYSA-N,Cc1cccnc1,decoy_C6H7N
decoy_IUGYQRQAERSCNH-UHFFFAOYSA-N,CC(C)(C)C(=O)O,decoy_C5H10O2
decoy_JJMOMMLADQPZNY-UHFFFAOYSA-N,CC(C)(C=O)CO,decoy_C5H10O2
decoy_JMMWKPVZQRWMSS-UHFFFAOYSA-N,CC(=O)OC(C)C,decoy_C5H10O2
decoy_JNTOKFNBDFMTIV-UHFFFAOYSA-N,CCCO[N+](=O)[O-],decoy_C3H7NO3
decoy_JQJPBYFTQAANLE-UHFFFAOYSA-N,CCCCON=O,decoy_C4H9NO2
decoy_JSHPTIGHEWEXRW-UHFFFAOYSA-N,CC(=O)CCCO,decoy_C5H10O2
decoy_JZYKFLLRVPPISG-UHFFFAOYSA-N,C#CCCCC#N,decoy_C6H7N
decoy_KPDOKSJMJMDRQA-UHFFFAOYSA-N,C1=CC2(C=C1)CC2,decoy_C7H8
decoy_LMYJGUNNJIDROI-UHFFFAOYSA-N,OC1CCOCC1,decoy_C5H10O2
decoy_MTCFGRXMJLQNBG-UHFFFAOYSA-N,NC(CO)C(=O)O,decoy_C3H7NO3
decoy_NALZTFARIYUCBY-UHFFFAOYSA-N,CCCC[N+](=O)[O-],decoy_C4H9NO2
decoy_NBEGXSQMVJTIAR-UHFFFAOYSA-N,CC(C)C(=O)CO,decoy_C5H10O2
decoy_NFGNZNFBQAGBJA-UHFFFAOYSA-N,CCC(C)ON=O,decoy_C4H9NO2
decoy_NLQMSBJFLQPLIJ-UHFFFAOYSA-N,CC1(CO)COC1,decoy_C5H10O2
decoy_NMJJFJNHVMGPGM-UHFFFAOYSA-N,CCCCOC=O,decoy_C5H10O2
decoy_NODMEAHDWHZSNR-UHFFFAOYSA-N,C1=CC2(C=CC2)C1,decoy_C7H8
decoy_NTNZTEQNFHNYBC-UHFFFAOYSA-N,CCOC(=O)CN,decoy_C4H9NO2
decoy_NUUPJBRGQCEZSI-UHFFFAOYSA-N,OC1CCC(O)C1,decoy_C5H10O2
decoy_NYKHMTWWXWMMHN-UHFFFAOYSA-N,CC=CC=CC#N,decoy_C6H7N
decoy_OAEQYDZVVPONKW-UHFFFAOYSA-N,CCC(C)OC=O,decoy_C5H10O2
decoy_OBWGMYALGNDUNM-UHFFFAOYSA-N,C=CC(OC)OC,decoy_C5H10O2
decoy_OVPLZYJGTGDFNB-UHFFFAOYSA-N,CC(C)OC(N)=O,decoy_C4H9NO2
decoy_PCNWBUOSTLGPMI-UHFFFAOYSA-N,CC(CO)[N+](=O)[O-],decoy_C3H7NO3
decoy_PCPUMGYALMOCHF-UHFFFAOYSA-N,OCC1CCOC1,decoy_C5H10O2
decoy_PCYZZYAEGNVNMH-UHFFFAOYSA-N,CC(=O)CC(C)O,decoy_C5H10O2
decoy_PNMYNXREEKCUGV-UHFFFAOYSA-N,C=CC#CCC=C,decoy_C7H8
decoy_PVCJKHHOXFKFRP-UHFFFAOYSA-N,CC(=O)NCCO,decoy_C4H9NO2
decoy_PZWQRDVVVKIYLX-UHFFFAOYSA-N,C1=CC2C=CC2C1,decoy_C7H8
decoy_QMXCHEVUAIPIRM-UHFFFAOYSA-N,CCC(=O)C(C)O,decoy_C5H10O2
decoy_QQBUHYQVKJQAOB-UHFFFAOYSA-N,C=Cc1ccco1,decoy_C6H6O
decoy_QWCKQJZIFLGMSD-UHFFFAOYSA-N,CCC([NH3+])C(=O)[O-],decoy_C4H9NO2
decoy_RGSODMOUXWISAG-UHFFFAOYSA-N,C#CCNCC#C,decoy_C6H7N
decoy_RSPZSDWVQWRAEF-UHFFFAOYSA-N,C#CCCCC#C,decoy_C7H8
decoy_RUPAXCPQAAOIPB-UHFFFAOYSA-N,CC(C)(C)OC=O,decoy_C5H10O2
decoy_SELYJABLPLKXOY-UHFFFAOYSA-N,COC(=O)N(C)C,decoy_C4H9NO2
decoy_SIJBDWPVNAYVGY-UHFFFAOYSA-N,CC1(C)OCCO1,decoy_C5H10O2
decoy_SJYNFBVQFBRSIB-UHFFFAOYSA-N,C1=CC2C=CC1C2,decoy_C7H8
decoy_SUGZATOHBPXTDV-UHFFFAOYSA-N,CCC(C)[N+](=O)[O-],decoy_C4H9NO2
decoy_SURZCVYFPAXNGN-UHFFFAOYSA-N,CCOC(=O)NC,decoy_C4H9NO2
decoy_UUIQMZJEGPQKFD-UHFFFAOYSA-N,CCCC(=O)OC,decoy_C5H10O2
decoy_VCVOSERVUCJNPR-UHFFFAOYSA-N,OC1CCCC1O,decoy_C5H10O2
decoy_VGEWEGHHYWGXGG-UHFFFAOYSA-N,CCOC(=O)NO,decoy_C3H7NO3
decoy_VLJXXKKOSFGPHI-UHFFFAOYSA-N,CCCC(C)CC,decoy_C7H16
decoy_VVSRECWZBBJOTG-UHFFFAOYSA-N,CC(=O)C(C)CO,decoy_C5H10O2
decoy_WBESQMVRIKXRFL-UHFFFAOYSA-N,CC1(O)CCCO1,decoy_C5H10O2
decoy_WEBRDDDJKLAXTO-UHFFFAOYSA-N,CCC1OCCO1,decoy_C5H10O2
decoy_WGECXQBGLLYSFP-UHFFFAOYSA-N,CCC(C)C(C)C,decoy_C7H16
decoy_WLAMNBDJUVNPJU-UHFFFAOYSA-N,CCC(C)C(=O)O,decoy_C5H10O2
decoy_WOVLKKLXYZJMSN-UHFFFAOYSA-N,CCCC(=O)CO,decoy_C5H10O2
decoy_XFXRMDNWSGXSNJ-UHFFFAOYSA-N,CC(C)C[N+](=O)[O-],decoy_C4H9NO2
decoy_YKYONYBAUNKHLG-UHFFFAOYSA-N,CCCOC(C)=O,decoy_C5H10O2
decoy_YNTOKMNHRPSGFU-UHFFFAOYSA-N,CCCOC(N)=O,decoy_C4H9NO2
decoy_ZISSAWUMDACLOM-UHFFFAOYSA-N,CC(C)C(C)(C)C,decoy_C7H16
decoy_ALTFLAPROMVXNX-UHFFFAOYSA-N,CC1COC(C)(C)O1,decoy_C6H12O2
decoy_AQSWYJHDAKIVIM-UHFFFAOYSA-N,CC(O)C=CC(C)O,decoy_C6H12O2
decoy_AWBIJARKDOFDAN-UHFFFAOYSA-N,CC1COC(C)CO1,decoy_C6H12O2
decoy_BGRDGMRNKXEXQD-UHFFFAOYSA-N,O=c1ccc(=O)[nH][nH]1,decoy_C4H4N2O2
decoy_BMTSZVZQNMNPCT-UHFFFAOYSA-N,Nc1ncccc1O,decoy_C5H6N2O
decoy_BVALZCVRLDMXOQ-UHFFFAOYSA-N,CCCCC[N+](=O)[O-],decoy_C5H11NO2
decoy_CHBAWFGIXDBEBT-UHFFFAOYSA-N,CCCC(C)CCC,decoy_C8H18
decoy_CJSZWOGCKKDSJG-UHFFFAOYSA-N,O=[N+]([O-])C1CCCC1,decoy_C5H9NO2
decoy_CNMFHDIDIMZHKY-UHFFFAOYSA-N,COC(=O)C(C)(C)C,decoy_C6H12O2
decoy_CSDTZUBPSYWZDX-UHFFFAOYSA-N,CCCCCON=O,decoy_C5H11NO2
decoy_CSZCLQLJVFLXLI-UHFFFAOYSA-N,CCC1OCC(C)O1,decoy_C6H12O2
decoy_CWNOEVURTVLUNV-UHFFFAOYSA-N,CCCOCC1CO1,decoy_C6H12O2
decoy_DCKVNWZUADLDEH-UHFFFAOYSA-N,CCC(C)OC(C)=O,decoy_C6H12O2
decoy_DIQMPQMYFZXDAX-UHFFFAOYSA-N,CCCCCOC=O,decoy_C6H12O2
decoy_DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,decoy_C6H12O2
decoy_DUFGYCAXVIUXIP-UHFFFAOYSA-N,Oc1cc(O)ncn1,decoy_C4H4N2O2
decoy_DUPUVYJQZSLSJB-UHFFFAOYSA-N,CCC(CC)C(C)C,decoy_C8H18
decoy_DYONNFFVDNILGI-UHFFFAOYSA-N,CCC(C)O[N+](=O)[O-],decoy_C4H9NO3
decoy_FGKJLKRYENPLQH-UHFFFAOYSA-N,CC(C)CCC(=O)O,decoy_C6H12O2
decoy_FLTJDUOFAQWHDF-UHFFFAOYSA-N,CCCCC(C)(C)C,decoy_C8H18
decoy_GDKSTFXHMBGCPG-UHFFFAOYSA-N,CC1(C)CCOCO1,decoy_C6H12O2
decoy_GIEZWIDCIFCQPS-UHFFFAOYSA-N,CCC(C)(CC)CC,decoy_C8H18
decoy_GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(=O)OCC(C)C,decoy_C6H12O2
decoy_GLGDTYAVPSJOSQ-UHFFFAOYSA-N,CC(=O)n1cncn1,decoy_C4H5N3O
decoy_GPMMYQITJVUZAT-UHFFFAOYSA-N,O=C1C=CC(=O)CC1,decoy_C6H6O2
decoy_GZXSDYYWLZERLF-UHFFFAOYSA-N,CCNC(=O)OCC,decoy_C5H11NO2
decoy_HDGQICNBXPAKLR-UHFFFAOYSA-N,CCC(C)CC(C)C,decoy_C8H18
decoy_HLEXJAVJCZLRTH-UHFFFAOYSA-N,CC1OC(C)C(C)O1,decoy_C6H12O2
